,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHH.Fvb6,context,group
1,Fvb6,1,50000,50000,*,5625,180596,-0.00124278839794981,CHH,AL_FL
2,Fvb6,50001,100000,50000,*,2858,156632,4.84085751238511e-05,CHH,AL_FL
3,Fvb6,100001,150000,50000,*,1317,207545,-0.000857637742651413,CHH,AL_FL
4,Fvb6,150001,200000,50000,*,8465,166989,-0.000569942267594381,CHH,AL_FL
5,Fvb6,200001,250000,50000,*,4733,66685,-0.0629811675472789,CHH,AL_FL
6,Fvb6,250001,300000,50000,*,2386,202692,0.000924837550351332,CHH,AL_FL
7,Fvb6,300001,350000,50000,*,1864,211636,-0.00069469112459181,CHH,AL_FL
8,Fvb6,350001,400000,50000,*,1458,173027,-0.00474992827741244,CHH,AL_FL
9,Fvb6,400001,450000,50000,*,20244,210349,0.0049691062967312,CHH,AL_FL
10,Fvb6,450001,500000,50000,*,1955,186977,-0.00215508544724647,CHH,AL_FL
11,Fvb6,500001,550000,50000,*,1525,169275,0.0008640326168776,CHH,AL_FL
12,Fvb6,550001,600000,50000,*,1198,214605,-3.77115270004287e-05,CHH,AL_FL
13,Fvb6,600001,650000,50000,*,1907,310472,0.000179438220590729,CHH,AL_FL
14,Fvb6,650001,700000,50000,*,1168,119802,0.00187096584658795,CHH,AL_FL
15,Fvb6,700001,750000,50000,*,1443,165923,-0.0034556626361754,CHH,AL_FL
16,Fvb6,750001,800000,50000,*,2789,184577,-0.00362285678069408,CHH,AL_FL
17,Fvb6,800001,850000,50000,*,1584,193198,-0.000239328580042534,CHH,AL_FL
18,Fvb6,850001,900000,50000,*,2641,209103,-0.000500656272720969,CHH,AL_FL
19,Fvb6,900001,950000,50000,*,3032,193744,0.00489910748647319,CHH,AL_FL
20,Fvb6,950001,1000000,50000,*,2782,185641,-0.00283663208341912,CHH,AL_FL
21,Fvb6,1000001,1050000,50000,*,1041,172893,-0.00302292861229979,CHH,AL_FL
22,Fvb6,1050001,1100000,50000,*,25305,216700,0.0156086389433086,CHH,AL_FL
23,Fvb6,1100001,1150000,50000,*,2872,192578,0.00138034696849951,CHH,AL_FL
24,Fvb6,1150001,1200000,50000,*,5059,155396,0.0140331412277787,CHH,AL_FL
25,Fvb6,1200001,1250000,50000,*,4588,195095,-0.00137039013131111,CHH,AL_FL
26,Fvb6,1250001,1300000,50000,*,4043,173189,-0.000743654864887752,CHH,AL_FL
27,Fvb6,1300001,1350000,50000,*,2434,190404,-0.00115136768458116,CHH,AL_FL
