,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb7,context,group
1,Fvb7,1,50000,50000,*,174,304,-0.140318146111548,CG,AL_FL
2,Fvb7,50001,100000,50000,*,0,0,0,CG,AL_FL
3,Fvb7,100001,150000,50000,*,0,0,0,CG,AL_FL
4,Fvb7,150001,200000,50000,*,0,0,0,CG,AL_FL
5,Fvb7,200001,250000,50000,*,0,0,0,CG,AL_FL
6,Fvb7,250001,300000,50000,*,0,0,0,CG,AL_FL
7,Fvb7,300001,350000,50000,*,0,0,0,CG,AL_FL
8,Fvb7,350001,400000,50000,*,0,0,0,CG,AL_FL
9,Fvb7,400001,450000,50000,*,0,0,0,CG,AL_FL
10,Fvb7,450001,500000,50000,*,0,0,0,CG,AL_FL
11,Fvb7,500001,550000,50000,*,0,0,0,CG,AL_FL
12,Fvb7,550001,600000,50000,*,10,10,NA,CG,AL_FL
13,Fvb7,600001,650000,50000,*,15950,23801,0.189680461985836,CG,AL_FL
14,Fvb7,650001,700000,50000,*,14119,22882,0.0731413097200052,CG,AL_FL
15,Fvb7,700001,750000,50000,*,15154,22260,0.0675112651132668,CG,AL_FL
16,Fvb7,750001,800000,50000,*,12872,27921,-0.0480749471362477,CG,AL_FL
17,Fvb7,800001,850000,50000,*,23100,30532,0.0292876594265054,CG,AL_FL
18,Fvb7,850001,900000,50000,*,9557,21009,0.0852705803248959,CG,AL_FL
19,Fvb7,900001,950000,50000,*,21606,27162,0.0832007875730292,CG,AL_FL
20,Fvb7,950001,1000000,50000,*,17380,21530,0.126154610892737,CG,AL_FL
21,Fvb7,1000001,1050000,50000,*,16562,26276,0.138167671758161,CG,AL_FL
22,Fvb7,1050001,1100000,50000,*,13871,22009,0.130058372651453,CG,AL_FL
23,Fvb7,1100001,1150000,50000,*,20049,31713,0.0992395658491909,CG,AL_FL
24,Fvb7,1150001,1200000,50000,*,12039,21772,0.0995539812565679,CG,AL_FL
25,Fvb7,1200001,1250000,50000,*,12852,19877,0.0557838684945121,CG,AL_FL
26,Fvb7,1250001,1300000,50000,*,18745,23044,0.0800991685998528,CG,AL_FL
27,Fvb7,1300001,1350000,50000,*,15979,33802,0.0703108876270469,CG,AL_FL
28,Fvb7,1350001,1400000,50000,*,14986,24733,0.085962416796773,CG,AL_FL
29,Fvb7,1400001,1450000,50000,*,12692,27097,0.0429331872362938,CG,AL_FL
30,Fvb7,1450001,1500000,50000,*,13182,24889,0.052862132968077,CG,AL_FL
31,Fvb7,1500001,1550000,50000,*,12331,21515,0.061017098402453,CG,AL_FL
32,Fvb7,1550001,1600000,50000,*,13698,29066,0.00387566624478036,CG,AL_FL
33,Fvb7,1600001,1650000,50000,*,16309,30965,0.0512351829556482,CG,AL_FL
34,Fvb7,1650001,1700000,50000,*,16086,27362,0.223401625095615,CG,AL_FL
35,Fvb7,1700001,1750000,50000,*,22162,33740,0.209608629826929,CG,AL_FL
36,Fvb7,1750001,1800000,50000,*,12163,27064,0.106729520165384,CG,AL_FL
37,Fvb7,1800001,1850000,50000,*,15891,27900,0.21311013065428,CG,AL_FL
38,Fvb7,1850001,1900000,50000,*,14861,29001,0.132407888249243,CG,AL_FL
39,Fvb7,1900001,1950000,50000,*,16145,22774,0.0813684071060709,CG,AL_FL
40,Fvb7,1950001,2000000,50000,*,11219,23036,0.147861338028507,CG,AL_FL
41,Fvb7,2000001,2050000,50000,*,11697,17744,0.0732151312953511,CG,AL_FL
42,Fvb7,2050001,2100000,50000,*,10873,21479,0.0928420652601989,CG,AL_FL
43,Fvb7,2100001,2150000,50000,*,16476,23656,0.0240303841042282,CG,AL_FL
44,Fvb7,2150001,2200000,50000,*,7697,29831,0.0395167443604998,CG,AL_FL
45,Fvb7,2200001,2250000,50000,*,22718,27246,0.0451933833540509,CG,AL_FL
46,Fvb7,2250001,2300000,50000,*,21250,31145,0.191868090322593,CG,AL_FL
47,Fvb7,2300001,2350000,50000,*,17545,32518,0.0894253522927246,CG,AL_FL
48,Fvb7,2350001,2400000,50000,*,6676,24569,0.0963605407154474,CG,AL_FL
49,Fvb7,2400001,2450000,50000,*,15489,24538,0.0546249571826448,CG,AL_FL
50,Fvb7,2450001,2500000,50000,*,19157,26756,0.127056959280739,CG,AL_FL
51,Fvb7,2500001,2550000,50000,*,14485,23694,0.0937956525226373,CG,AL_FL
52,Fvb7,2550001,2600000,50000,*,22053,27782,0.121325201867129,CG,AL_FL
53,Fvb7,2600001,2650000,50000,*,13993,31498,0.136371741991573,CG,AL_FL
54,Fvb7,2650001,2700000,50000,*,18372,29026,0.109591126921461,CG,AL_FL
55,Fvb7,2700001,2750000,50000,*,17043,26851,0.14737026686161,CG,AL_FL
56,Fvb7,2750001,2800000,50000,*,16976,21976,0.104865987988107,CG,AL_FL
57,Fvb7,2800001,2850000,50000,*,12871,28411,0.0286595755203248,CG,AL_FL
58,Fvb7,2850001,2900000,50000,*,12960,18532,-0.0934825685433115,CG,AL_FL
59,Fvb7,2900001,2950000,50000,*,19500,29414,0.184791410398264,CG,AL_FL
60,Fvb7,2950001,3000000,50000,*,23712,33489,0.158059190456799,CG,AL_FL
61,Fvb7,3000001,3050000,50000,*,6761,21091,-0.0699863195932774,CG,AL_FL
62,Fvb7,3050001,3100000,50000,*,14675,20138,0.0921878198027755,CG,AL_FL
63,Fvb7,3100001,3150000,50000,*,14949,26853,0.0715921024857622,CG,AL_FL
64,Fvb7,3150001,3200000,50000,*,9721,25861,0.102505506632889,CG,AL_FL
65,Fvb7,3200001,3250000,50000,*,15850,23282,-0.00531600192692827,CG,AL_FL
66,Fvb7,3250001,3300000,50000,*,19474,28166,0.0224605524378194,CG,AL_FL
67,Fvb7,3300001,3350000,50000,*,18943,24902,0.1477523113627,CG,AL_FL
68,Fvb7,3350001,3400000,50000,*,19311,32035,0.32243695519716,CG,AL_FL
69,Fvb7,3400001,3450000,50000,*,15942,22638,0.0404418010616955,CG,AL_FL
70,Fvb7,3450001,3500000,50000,*,16233,29129,0.0744928575418973,CG,AL_FL
71,Fvb7,3500001,3550000,50000,*,11955,27823,0.0120190390737106,CG,AL_FL
72,Fvb7,3550001,3600000,50000,*,21293,34399,0.142178840834853,CG,AL_FL
73,Fvb7,3600001,3650000,50000,*,11584,25174,0.0542867042647657,CG,AL_FL
74,Fvb7,3650001,3700000,50000,*,17688,32809,0.0897575195859032,CG,AL_FL
75,Fvb7,3700001,3750000,50000,*,24754,42295,0.00450142811201981,CG,AL_FL
76,Fvb7,3750001,3800000,50000,*,15373,20347,0.134626324768534,CG,AL_FL
77,Fvb7,3800001,3850000,50000,*,20614,27690,0.16967841106092,CG,AL_FL
78,Fvb7,3850001,3900000,50000,*,12774,21628,0.0778131150009527,CG,AL_FL
79,Fvb7,3900001,3950000,50000,*,21530,29754,0.0908151871324798,CG,AL_FL
80,Fvb7,3950001,4000000,50000,*,11581,25918,0.0302229506646877,CG,AL_FL
81,Fvb7,4000001,4050000,50000,*,19638,22025,0.105885141996083,CG,AL_FL
82,Fvb7,4050001,4100000,50000,*,27427,30690,0.118650173034544,CG,AL_FL
83,Fvb7,4100001,4150000,50000,*,10860,13218,-0.0847703052024161,CG,AL_FL
84,Fvb7,4150001,4200000,50000,*,19748,23820,-0.0317746510084831,CG,AL_FL
85,Fvb7,4200001,4250000,50000,*,15703,22633,0.0730186467634105,CG,AL_FL
86,Fvb7,4250001,4300000,50000,*,16443,23608,0.0691121351801923,CG,AL_FL
87,Fvb7,4300001,4350000,50000,*,10431,13602,0.126567611648625,CG,AL_FL
88,Fvb7,4350001,4400000,50000,*,12287,23978,-0.000109202036521094,CG,AL_FL
89,Fvb7,4400001,4450000,50000,*,16364,28945,0.103779788579052,CG,AL_FL
90,Fvb7,4450001,4500000,50000,*,15301,18498,0.417705860300412,CG,AL_FL
91,Fvb7,4500001,4550000,50000,*,15672,21835,0.0275173203303977,CG,AL_FL
92,Fvb7,4550001,4600000,50000,*,21009,28281,0.0759495686149712,CG,AL_FL
93,Fvb7,4600001,4650000,50000,*,12206,31695,0.0507780802353019,CG,AL_FL
94,Fvb7,4650001,4700000,50000,*,14153,25597,0.0543093922115018,CG,AL_FL
95,Fvb7,4700001,4750000,50000,*,23769,29618,0.0298311930841449,CG,AL_FL
96,Fvb7,4750001,4800000,50000,*,6767,16507,0.02057249754887,CG,AL_FL
97,Fvb7,4800001,4850000,50000,*,6463,18150,0.0609986636779578,CG,AL_FL
98,Fvb7,4850001,4900000,50000,*,13511,24425,0.0564011954517565,CG,AL_FL
99,Fvb7,4900001,4950000,50000,*,12790,23136,0.0860442048292847,CG,AL_FL
100,Fvb7,4950001,5000000,50000,*,9190,13746,0.0220960095319127,CG,AL_FL
101,Fvb7,5000001,5050000,50000,*,8922,26675,0.0202103081052705,CG,AL_FL
102,Fvb7,5050001,5100000,50000,*,10746,17913,-0.0838522290559648,CG,AL_FL
103,Fvb7,5100001,5150000,50000,*,5966,24753,-0.0552217808892942,CG,AL_FL
104,Fvb7,5150001,5200000,50000,*,8331,22408,-0.0354262529190394,CG,AL_FL
105,Fvb7,5200001,5250000,50000,*,9992,20236,0.103850143336017,CG,AL_FL
106,Fvb7,5250001,5300000,50000,*,10301,27586,0.0826013577194097,CG,AL_FL
107,Fvb7,5300001,5350000,50000,*,11786,20869,0.102824755121913,CG,AL_FL
108,Fvb7,5350001,5400000,50000,*,12472,20614,0.118256908453648,CG,AL_FL
109,Fvb7,5400001,5450000,50000,*,23456,33087,0.191099842824768,CG,AL_FL
110,Fvb7,5450001,5500000,50000,*,21123,38361,0.120239792680921,CG,AL_FL
111,Fvb7,5500001,5550000,50000,*,24418,34545,0.0675234273884517,CG,AL_FL
112,Fvb7,5550001,5600000,50000,*,25345,35797,0.307660003879747,CG,AL_FL
113,Fvb7,5600001,5650000,50000,*,11252,19428,0.0320967505561297,CG,AL_FL
114,Fvb7,5650001,5700000,50000,*,6395,9616,0.202459755896347,CG,AL_FL
115,Fvb7,5700001,5750000,50000,*,9004,21469,0.0168065525706412,CG,AL_FL
116,Fvb7,5750001,5800000,50000,*,12098,25126,0.108134651197475,CG,AL_FL
117,Fvb7,5800001,5850000,50000,*,9373,16783,-0.00284576427101602,CG,AL_FL
118,Fvb7,5850001,5900000,50000,*,8441,22122,0.0273409474680483,CG,AL_FL
119,Fvb7,5900001,5950000,50000,*,34451,38593,0.142768999364316,CG,AL_FL
120,Fvb7,5950001,6000000,50000,*,11814,21879,0.0560036239669202,CG,AL_FL
121,Fvb7,6000001,6050000,50000,*,13131,25340,0.130896132942426,CG,AL_FL
122,Fvb7,6050001,6100000,50000,*,12234,22983,0.0392670442482808,CG,AL_FL
123,Fvb7,6100001,6150000,50000,*,9782,18518,0.117277973185364,CG,AL_FL
124,Fvb7,6150001,6200000,50000,*,12153,34386,0.0886379562003362,CG,AL_FL
125,Fvb7,6200001,6250000,50000,*,8781,25037,0.0727795285857105,CG,AL_FL
126,Fvb7,6250001,6300000,50000,*,12462,25855,0.0349431698266601,CG,AL_FL
127,Fvb7,6300001,6350000,50000,*,2297,4524,0.0459068633603605,CG,AL_FL
128,Fvb7,6350001,6400000,50000,*,5850,22903,0.00401172015310952,CG,AL_FL
129,Fvb7,6400001,6450000,50000,*,9649,25076,0.0373378128769694,CG,AL_FL
130,Fvb7,6450001,6500000,50000,*,10522,15652,0.0456953403432253,CG,AL_FL
131,Fvb7,6500001,6550000,50000,*,8467,20611,0.0148335879748446,CG,AL_FL
132,Fvb7,6550001,6600000,50000,*,7648,19394,-0.0175169980024805,CG,AL_FL
133,Fvb7,6600001,6650000,50000,*,20722,30745,0.00945755216250943,CG,AL_FL
134,Fvb7,6650001,6700000,50000,*,2353,5729,0.086306267784438,CG,AL_FL
135,Fvb7,6700001,6750000,50000,*,13200,22845,0.00534133521436087,CG,AL_FL
136,Fvb7,6750001,6800000,50000,*,10349,30572,0.0468837707355091,CG,AL_FL
137,Fvb7,6800001,6850000,50000,*,12776,23780,0.0898574004142867,CG,AL_FL
138,Fvb7,6850001,6900000,50000,*,11706,25238,0.0696981653250291,CG,AL_FL
139,Fvb7,6900001,6950000,50000,*,17073,22130,0.074633413889367,CG,AL_FL
140,Fvb7,6950001,7000000,50000,*,10396,26196,0.182394332114564,CG,AL_FL
141,Fvb7,7000001,7050000,50000,*,10331,19673,0.0358786931960857,CG,AL_FL
142,Fvb7,7050001,7100000,50000,*,9295,23299,0.00507608198534859,CG,AL_FL
143,Fvb7,7100001,7150000,50000,*,12461,29615,-0.142055258052761,CG,AL_FL
144,Fvb7,7150001,7200000,50000,*,19434,28829,0.109183579525527,CG,AL_FL
145,Fvb7,7200001,7250000,50000,*,21342,30632,0.120106607754423,CG,AL_FL
146,Fvb7,7250001,7300000,50000,*,8443,16340,0.320838901639424,CG,AL_FL
147,Fvb7,7300001,7350000,50000,*,12927,20985,0.159816973936681,CG,AL_FL
148,Fvb7,7350001,7400000,50000,*,11127,31628,-0.0367754495627476,CG,AL_FL
