,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHH.Fvb1,context,group
1,Fvb1,1,50000,50000,*,2355,176300,0.00205600521417957,CHH,AL_FL
2,Fvb1,50001,100000,50000,*,3349,197278,-0.00880478416373394,CHH,AL_FL
3,Fvb1,100001,150000,50000,*,1000,196626,-9.46481952374626e-05,CHH,AL_FL
4,Fvb1,150001,200000,50000,*,3876,200553,0.00214029115806716,CHH,AL_FL
5,Fvb1,200001,250000,50000,*,2543,207580,-0.00350611784199547,CHH,AL_FL
6,Fvb1,250001,300000,50000,*,15051,200532,0.0134391519585969,CHH,AL_FL
7,Fvb1,300001,350000,50000,*,1298,190165,-0.000538621869863565,CHH,AL_FL
8,Fvb1,350001,400000,50000,*,3183,220290,0.004404473128092,CHH,AL_FL
9,Fvb1,400001,450000,50000,*,2235,173876,0.00121984044865621,CHH,AL_FL
10,Fvb1,450001,500000,50000,*,2739,179476,0.00133594109889303,CHH,AL_FL
11,Fvb1,500001,550000,50000,*,1775,146662,-6.60082322665595e-05,CHH,AL_FL
12,Fvb1,550001,600000,50000,*,1870,187072,0.000790354821467018,CHH,AL_FL
13,Fvb1,600001,650000,50000,*,966,132346,0.000563568034143516,CHH,AL_FL
14,Fvb1,650001,700000,50000,*,1105,87225,0.00368996789199448,CHH,AL_FL
15,Fvb1,700001,750000,50000,*,9962,209475,0.0195683788578949,CHH,AL_FL
16,Fvb1,750001,800000,50000,*,14294,216787,0.0213516132924774,CHH,AL_FL
17,Fvb1,800001,850000,50000,*,11157,197300,0.0268516775893899,CHH,AL_FL
18,Fvb1,850001,900000,50000,*,2353,204227,-0.00271989568726027,CHH,AL_FL
19,Fvb1,900001,950000,50000,*,1005,200763,0.000200246169313555,CHH,AL_FL
20,Fvb1,950001,1000000,50000,*,2021,177025,-0.00102843876610284,CHH,AL_FL
21,Fvb1,1000001,1050000,50000,*,1963,171423,0.000851096716464078,CHH,AL_FL
22,Fvb1,1050001,1100000,50000,*,1608,192360,0.00129159784549634,CHH,AL_FL
23,Fvb1,1100001,1150000,50000,*,1856,151456,-0.00094523491471883,CHH,AL_FL
24,Fvb1,1150001,1200000,50000,*,2270,186761,-0.00590191952738468,CHH,AL_FL
25,Fvb1,1200001,1250000,50000,*,419,54854,-0.00337705451758058,CHH,AL_FL
26,Fvb1,1250001,1300000,50000,*,215,3837,-0.0132635551215839,CHH,AL_FL
27,Fvb1,1300001,1350000,50000,*,616,49431,0.00208119262256381,CHH,AL_FL
28,Fvb1,1350001,1400000,50000,*,1581,140171,0.000768850283081992,CHH,AL_FL
29,Fvb1,1400001,1450000,50000,*,2199,184539,-0.000484381215254719,CHH,AL_FL
30,Fvb1,1450001,1500000,50000,*,1899,197050,5.96738881015694e-05,CHH,AL_FL
31,Fvb1,1500001,1550000,50000,*,3747,182305,0.0089453578895317,CHH,AL_FL
32,Fvb1,1550001,1600000,50000,*,2760,202374,0.00423018648459949,CHH,AL_FL
33,Fvb1,1600001,1650000,50000,*,2023,161545,0.00310633323948327,CHH,AL_FL
34,Fvb1,1650001,1700000,50000,*,5375,203428,-0.00662013198811524,CHH,AL_FL
35,Fvb1,1700001,1750000,50000,*,4161,196489,0.00506022304146534,CHH,AL_FL
36,Fvb1,1750001,1800000,50000,*,2115,203089,0.00148752355686027,CHH,AL_FL
37,Fvb1,1800001,1850000,50000,*,901,195058,-0.000241999087056536,CHH,AL_FL
38,Fvb1,1850001,1900000,50000,*,2897,211087,0.00271894444816838,CHH,AL_FL
39,Fvb1,1900001,1950000,50000,*,1501,216780,0.000730048482135219,CHH,AL_FL
40,Fvb1,1950001,2000000,50000,*,2580,212879,-0.00144679218529583,CHH,AL_FL
41,Fvb1,2000001,2050000,50000,*,3492,212023,0.00788098196105718,CHH,AL_FL
42,Fvb1,2050001,2100000,50000,*,2624,207339,9.45920373513227e-05,CHH,AL_FL
43,Fvb1,2100001,2150000,50000,*,2788,196690,0.000496915565855788,CHH,AL_FL
44,Fvb1,2150001,2200000,50000,*,2178,180921,0.0032130751008344,CHH,AL_FL
45,Fvb1,2200001,2250000,50000,*,1986,198458,-0.00238575670515154,CHH,AL_FL
46,Fvb1,2250001,2300000,50000,*,2673,148316,0.00547183620147675,CHH,AL_FL
47,Fvb1,2300001,2350000,50000,*,2048,199938,-0.00209763140787438,CHH,AL_FL
48,Fvb1,2350001,2400000,50000,*,2449,184174,-0.00264196149207612,CHH,AL_FL
49,Fvb1,2400001,2450000,50000,*,2193,139851,0.00647589655986482,CHH,AL_FL
50,Fvb1,2450001,2500000,50000,*,3967,166259,0.00915321281853172,CHH,AL_FL
51,Fvb1,2500001,2550000,50000,*,2688,212555,-0.00107723692646274,CHH,AL_FL
52,Fvb1,2550001,2600000,50000,*,4917,138765,0.0226409519357574,CHH,AL_FL
