,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb1,context,group
1,Fvb1,1,50000,50000,*,5798,13478,0.00730680628183572,CG,AK_FK
2,Fvb1,50001,100000,50000,*,3788,13634,-0.0568655134508755,CG,AK_FK
3,Fvb1,100001,150000,50000,*,3760,18551,-0.00417469481453084,CG,AK_FK
4,Fvb1,150001,200000,50000,*,4400,17529,-0.0287543959190347,CG,AK_FK
5,Fvb1,200001,250000,50000,*,3840,16804,0.0232644690581202,CG,AK_FK
6,Fvb1,250001,300000,50000,*,9418,16279,-0.00917557912329581,CG,AK_FK
7,Fvb1,300001,350000,50000,*,4624,15677,0.0407137212592971,CG,AK_FK
8,Fvb1,350001,400000,50000,*,4481,19881,-0.00562496587314845,CG,AK_FK
9,Fvb1,400001,450000,50000,*,5261,15389,0.0298862221564707,CG,AK_FK
10,Fvb1,450001,500000,50000,*,4914,12021,0.0379810930367019,CG,AK_FK
11,Fvb1,500001,550000,50000,*,2815,11978,-0.0150458409322345,CG,AK_FK
12,Fvb1,550001,600000,50000,*,4314,14561,0.0375629753408147,CG,AK_FK
13,Fvb1,600001,650000,50000,*,2768,9543,0.0764991188825263,CG,AK_FK
14,Fvb1,650001,700000,50000,*,1273,7851,-0.032763230612563,CG,AK_FK
15,Fvb1,700001,750000,50000,*,6538,18815,-0.0156031901187866,CG,AK_FK
16,Fvb1,750001,800000,50000,*,10439,18019,-0.0424127044121309,CG,AK_FK
17,Fvb1,800001,850000,50000,*,7050,13741,0.0235751556923536,CG,AK_FK
18,Fvb1,850001,900000,50000,*,3465,16330,0.0545328684592561,CG,AK_FK
19,Fvb1,900001,950000,50000,*,3196,14652,0.00333782655155512,CG,AK_FK
20,Fvb1,950001,1000000,50000,*,3621,14728,0.00078078107412774,CG,AK_FK
21,Fvb1,1000001,1050000,50000,*,3024,17895,-0.00266424717223196,CG,AK_FK
22,Fvb1,1050001,1100000,50000,*,3230,14540,0.00886027399962466,CG,AK_FK
23,Fvb1,1100001,1150000,50000,*,2552,8548,0.0351728718159141,CG,AK_FK
24,Fvb1,1150001,1200000,50000,*,3913,12108,-0.00572614853367992,CG,AK_FK
25,Fvb1,1200001,1250000,50000,*,927,6376,-0.132236464860666,CG,AK_FK
26,Fvb1,1250001,1300000,50000,*,300,354,0.406672174795906,CG,AK_FK
27,Fvb1,1300001,1350000,50000,*,1051,4593,0.0217221075154564,CG,AK_FK
28,Fvb1,1350001,1400000,50000,*,4066,12442,-0.0819017609797707,CG,AK_FK
29,Fvb1,1400001,1450000,50000,*,4699,14679,0.0769116877834546,CG,AK_FK
30,Fvb1,1450001,1500000,50000,*,3818,16954,0.00497760752991927,CG,AK_FK
31,Fvb1,1500001,1550000,50000,*,4076,17325,-0.053159477737791,CG,AK_FK
32,Fvb1,1550001,1600000,50000,*,5058,17498,0.0324000105110316,CG,AK_FK
33,Fvb1,1600001,1650000,50000,*,3483,13777,0.067747896772835,CG,AK_FK
34,Fvb1,1650001,1700000,50000,*,3269,15959,-0.0184833543679329,CG,AK_FK
35,Fvb1,1700001,1750000,50000,*,4345,16179,0.000833073173691135,CG,AK_FK
36,Fvb1,1750001,1800000,50000,*,3180,16052,0.00215330359611224,CG,AK_FK
37,Fvb1,1800001,1850000,50000,*,3739,14091,0.0253200794380599,CG,AK_FK
38,Fvb1,1850001,1900000,50000,*,4788,18903,0.0391752239061932,CG,AK_FK
39,Fvb1,1900001,1950000,50000,*,3643,18396,0.0152431302653094,CG,AK_FK
40,Fvb1,1950001,2000000,50000,*,3640,17223,0.021408446197716,CG,AK_FK
41,Fvb1,2000001,2050000,50000,*,3607,14248,-0.00481288604953733,CG,AK_FK
42,Fvb1,2050001,2100000,50000,*,3611,16596,0.0134450792079136,CG,AK_FK
