,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHH.Fvb3,context,group
1,Fvb3,1,50000,50000,*,3747,87537,-0.00351292188600145,CHH,AK_FK
2,Fvb3,50001,100000,50000,*,1445,116792,-0.00261516853021235,CHH,AK_FK
3,Fvb3,100001,150000,50000,*,1652,102250,-0.0018269938220489,CHH,AK_FK
4,Fvb3,150001,200000,50000,*,1000,114521,-0.00528358555774814,CHH,AK_FK
5,Fvb3,200001,250000,50000,*,1505,96984,-0.00491440772304199,CHH,AK_FK
6,Fvb3,250001,300000,50000,*,956,106425,-0.00378705767618354,CHH,AK_FK
7,Fvb3,300001,350000,50000,*,2894,103713,-0.0552876978561851,CHH,AK_FK
8,Fvb3,350001,400000,50000,*,4931,92272,-0.0953419725287206,CHH,AK_FK
9,Fvb3,400001,450000,50000,*,1262,102263,-0.0020390528533466,CHH,AK_FK
10,Fvb3,450001,500000,50000,*,2277,109665,-0.00150552742371281,CHH,AK_FK
11,Fvb3,500001,550000,50000,*,1935,104747,-0.00509058685039114,CHH,AK_FK
12,Fvb3,550001,600000,50000,*,3688,98225,-0.0115680177297037,CHH,AK_FK
13,Fvb3,600001,650000,50000,*,8557,85262,-0.0445500829573604,CHH,AK_FK
14,Fvb3,650001,700000,50000,*,7484,103413,-0.0326902950131018,CHH,AK_FK
15,Fvb3,700001,750000,50000,*,2804,105151,-0.00468915623792326,CHH,AK_FK
16,Fvb3,750001,800000,50000,*,2232,106887,-0.00383856879815632,CHH,AK_FK
17,Fvb3,800001,850000,50000,*,4737,92683,-0.00789691603915619,CHH,AK_FK
18,Fvb3,850001,900000,50000,*,1605,117112,-0.00129650984044306,CHH,AK_FK
19,Fvb3,900001,950000,50000,*,2356,92785,-0.00939384801507065,CHH,AK_FK
20,Fvb3,950001,1000000,50000,*,1201,114932,-0.00402801469952362,CHH,AK_FK
21,Fvb3,1000001,1050000,50000,*,1760,97079,-0.0091911726681979,CHH,AK_FK
22,Fvb3,1050001,1100000,50000,*,1155,84102,-0.00443031140612729,CHH,AK_FK
23,Fvb3,1100001,1150000,50000,*,1165,46265,0.00184489127049958,CHH,AK_FK
24,Fvb3,1150001,1200000,50000,*,1445,98723,-0.00151589154916008,CHH,AK_FK
25,Fvb3,1200001,1250000,50000,*,675,96596,-0.00295561748863967,CHH,AK_FK
26,Fvb3,1250001,1300000,50000,*,2480,100362,-0.00654009999917961,CHH,AK_FK
27,Fvb3,1300001,1350000,50000,*,3562,99628,0.00527130786794549,CHH,AK_FK
28,Fvb3,1350001,1400000,50000,*,1297,110281,-0.00372291979503271,CHH,AK_FK
29,Fvb3,1400001,1450000,50000,*,1312,89021,0.00496810753393202,CHH,AK_FK
30,Fvb3,1450001,1500000,50000,*,1162,54128,-0.01065861824935,CHH,AK_FK
31,Fvb3,1500001,1550000,50000,*,1585,53024,-0.0401168538049581,CHH,AK_FK
32,Fvb3,1550001,1600000,50000,*,1077,96820,-0.00331244862974689,CHH,AK_FK
33,Fvb3,1600001,1650000,50000,*,1705,90855,-0.009781223508693,CHH,AK_FK
34,Fvb3,1650001,1700000,50000,*,3401,83495,-0.00432134520054182,CHH,AK_FK
35,Fvb3,1700001,1750000,50000,*,3053,107096,0.000825442275030553,CHH,AK_FK
36,Fvb3,1750001,1800000,50000,*,2256,98120,-0.00505784132022372,CHH,AK_FK
37,Fvb3,1800001,1850000,50000,*,2872,101081,0.0123999648468858,CHH,AK_FK
38,Fvb3,1850001,1900000,50000,*,1224,96851,-0.00211047350536612,CHH,AK_FK
39,Fvb3,1900001,1950000,50000,*,1496,71167,-0.0034247760145215,CHH,AK_FK
40,Fvb3,1950001,2000000,50000,*,2088,97512,-0.00809227186186301,CHH,AK_FK
41,Fvb3,2000001,2050000,50000,*,2540,75976,-0.0158481562028648,CHH,AK_FK
42,Fvb3,2050001,2100000,50000,*,1498,105987,-0.00374455093045362,CHH,AK_FK
43,Fvb3,2100001,2150000,50000,*,2620,94603,-0.0039690426380605,CHH,AK_FK
44,Fvb3,2150001,2200000,50000,*,3413,95171,-0.000283548697049336,CHH,AK_FK
