,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHH.Fvb5,context,group
1,Fvb5,1,50000,50000,*,6290,110777,-0.0305648556947011,CHH,AL_FL
2,Fvb5,50001,100000,50000,*,2320,112016,0.00151115339240144,CHH,AL_FL
3,Fvb5,100001,150000,50000,*,1467,161892,-0.0032245824389664,CHH,AL_FL
4,Fvb5,150001,200000,50000,*,1923,137799,-0.003225607570473,CHH,AL_FL
5,Fvb5,200001,250000,50000,*,1384,142678,0.00110889029264012,CHH,AL_FL
6,Fvb5,250001,300000,50000,*,894,146737,-0.00110307798937691,CHH,AL_FL
7,Fvb5,300001,350000,50000,*,835,131618,0.000812807422125255,CHH,AL_FL
8,Fvb5,350001,400000,50000,*,1011,150025,-0.00437572251420518,CHH,AL_FL
9,Fvb5,400001,450000,50000,*,965,139141,-0.00202248419522026,CHH,AL_FL
10,Fvb5,450001,500000,50000,*,917,137980,-0.00196560270545425,CHH,AL_FL
11,Fvb5,500001,550000,50000,*,849,137344,-0.00179955404544763,CHH,AL_FL
12,Fvb5,550001,600000,50000,*,2011,116691,-0.00372704333650189,CHH,AL_FL
13,Fvb5,600001,650000,50000,*,10924,100437,0.0630512037874175,CHH,AL_FL
14,Fvb5,650001,700000,50000,*,1381,132447,0.000813923018241595,CHH,AL_FL
15,Fvb5,700001,750000,50000,*,1057,125368,-0.00349064070721693,CHH,AL_FL
16,Fvb5,750001,800000,50000,*,2636,152260,0.00595432703760645,CHH,AL_FL
17,Fvb5,800001,850000,50000,*,1724,134684,-0.00283868947338366,CHH,AL_FL
18,Fvb5,850001,900000,50000,*,1471,113489,-0.002767954788355,CHH,AL_FL
19,Fvb5,900001,950000,50000,*,1234,131802,0.00036405414832524,CHH,AL_FL
20,Fvb5,950001,1000000,50000,*,1136,75502,-0.00580670433608954,CHH,AL_FL
21,Fvb5,1000001,1050000,50000,*,2243,50987,-0.0735942784439838,CHH,AL_FL
22,Fvb5,1050001,1100000,50000,*,1976,124697,0.000509095557606132,CHH,AL_FL
23,Fvb5,1100001,1150000,50000,*,1960,129101,0.00323314297508751,CHH,AL_FL
24,Fvb5,1150001,1200000,50000,*,1349,127513,-0.000328339845341167,CHH,AL_FL
25,Fvb5,1200001,1250000,50000,*,7918,124554,0.0191268778401014,CHH,AL_FL
26,Fvb5,1250001,1300000,50000,*,1594,137289,0.00128574436096864,CHH,AL_FL
27,Fvb5,1300001,1350000,50000,*,1845,125633,-0.00569254690475201,CHH,AL_FL
28,Fvb5,1350001,1400000,50000,*,1219,135731,-0.00733122169709387,CHH,AL_FL
29,Fvb5,1400001,1450000,50000,*,779,127016,-0.00202445694479421,CHH,AL_FL
30,Fvb5,1450001,1500000,50000,*,2199,101179,-0.0083673852908047,CHH,AL_FL
31,Fvb5,1500001,1550000,50000,*,816,121840,-0.00285956520229114,CHH,AL_FL
32,Fvb5,1550001,1600000,50000,*,1353,111761,-0.0035032286959756,CHH,AL_FL
33,Fvb5,1600001,1650000,50000,*,1154,95811,-2.55917072479045e-05,CHH,AL_FL
34,Fvb5,1650001,1700000,50000,*,1389,98715,0.000940335730323115,CHH,AL_FL
35,Fvb5,1700001,1750000,50000,*,764,131251,-0.00199063542206403,CHH,AL_FL
36,Fvb5,1750001,1800000,50000,*,1170,134357,-0.001947049458837,CHH,AL_FL
37,Fvb5,1800001,1850000,50000,*,2877,126552,0.00455378633294383,CHH,AL_FL
38,Fvb5,1850001,1900000,50000,*,3950,121038,0.0226657138872948,CHH,AL_FL
39,Fvb5,1900001,1950000,50000,*,1047,136849,-0.00164379788844246,CHH,AL_FL
40,Fvb5,1950001,2000000,50000,*,2435,130923,0.0101608715518693,CHH,AL_FL
41,Fvb5,2000001,2050000,50000,*,1620,108793,0.000463898097059587,CHH,AL_FL
