,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHH.Fvb6,context,group
1,Fvb6,1,50000,50000,*,4971,101379,-0.00330025503949653,CHH,AK_FK
2,Fvb6,50001,100000,50000,*,2294,85357,-0.0127555700218506,CHH,AK_FK
3,Fvb6,100001,150000,50000,*,828,102146,-0.00746904279016996,CHH,AK_FK
4,Fvb6,150001,200000,50000,*,3865,79680,-0.0127076541901632,CHH,AK_FK
5,Fvb6,200001,250000,50000,*,2729,31685,-0.0412236794362846,CHH,AK_FK
6,Fvb6,250001,300000,50000,*,1679,104034,-0.00469717931641998,CHH,AK_FK
7,Fvb6,300001,350000,50000,*,1332,109114,-0.0033676302740228,CHH,AK_FK
8,Fvb6,350001,400000,50000,*,1215,92680,-0.0113177627771679,CHH,AK_FK
9,Fvb6,400001,450000,50000,*,10438,96004,-0.0526864280170097,CHH,AK_FK
10,Fvb6,450001,500000,50000,*,1484,96309,-0.000780832748965307,CHH,AK_FK
11,Fvb6,500001,550000,50000,*,1079,83779,0.00105033865201857,CHH,AK_FK
12,Fvb6,550001,600000,50000,*,616,104048,-0.00430466520385148,CHH,AK_FK
13,Fvb6,600001,650000,50000,*,967,155797,-0.00500201547777601,CHH,AK_FK
14,Fvb6,650001,700000,50000,*,731,63590,-0.00295372769208735,CHH,AK_FK
15,Fvb6,700001,750000,50000,*,1178,89581,-0.00270496885780306,CHH,AK_FK
16,Fvb6,750001,800000,50000,*,1761,91949,-0.00720166368895264,CHH,AK_FK
17,Fvb6,800001,850000,50000,*,1154,102330,-0.00405037125382684,CHH,AK_FK
18,Fvb6,850001,900000,50000,*,2174,105719,-0.00189976312587805,CHH,AK_FK
19,Fvb6,900001,950000,50000,*,1984,102361,0.00781721379902026,CHH,AK_FK
20,Fvb6,950001,1000000,50000,*,2078,95474,-0.00522901685841951,CHH,AK_FK
21,Fvb6,1000001,1050000,50000,*,733,99663,-0.00536064208700162,CHH,AK_FK
22,Fvb6,1050001,1100000,50000,*,13454,100644,-0.0596526770018733,CHH,AK_FK
23,Fvb6,1100001,1150000,50000,*,1789,107984,-0.00721912004485798,CHH,AK_FK
24,Fvb6,1150001,1200000,50000,*,3597,77734,0.00807660610332957,CHH,AK_FK
