,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHH.Fvb3,context,group
1,Fvb3,1,50000,50000,*,3776,124675,0.002224635557761,CHH,AL_FL
2,Fvb3,50001,100000,50000,*,1592,173854,-0.000828161259848895,CHH,AL_FL
3,Fvb3,100001,150000,50000,*,1604,143869,-0.00455462620930599,CHH,AL_FL
4,Fvb3,150001,200000,50000,*,1135,146522,-0.00183928229774975,CHH,AL_FL
5,Fvb3,200001,250000,50000,*,1416,126611,-0.000626922538403008,CHH,AL_FL
6,Fvb3,250001,300000,50000,*,1039,138066,0.00124857803732627,CHH,AL_FL
7,Fvb3,300001,350000,50000,*,2561,132474,-0.01490398926737,CHH,AL_FL
8,Fvb3,350001,400000,50000,*,4659,120105,-0.0158292113466888,CHH,AL_FL
9,Fvb3,400001,450000,50000,*,1215,128246,0.00247924261641929,CHH,AL_FL
10,Fvb3,450001,500000,50000,*,1878,140016,-0.00307573703157517,CHH,AL_FL
11,Fvb3,500001,550000,50000,*,1721,132689,-0.00279575164479246,CHH,AL_FL
12,Fvb3,550001,600000,50000,*,2937,125835,0.00605369290455489,CHH,AL_FL
13,Fvb3,600001,650000,50000,*,7082,109525,0.00114615823764698,CHH,AL_FL
14,Fvb3,650001,700000,50000,*,5925,132731,0.00121048458491809,CHH,AL_FL
15,Fvb3,700001,750000,50000,*,2226,130201,-0.0035324292099495,CHH,AL_FL
16,Fvb3,750001,800000,50000,*,1599,127829,-0.0021619906205274,CHH,AL_FL
17,Fvb3,800001,850000,50000,*,3445,115364,0.00888358759750462,CHH,AL_FL
18,Fvb3,850001,900000,50000,*,1031,142863,-0.00319550217772219,CHH,AL_FL
19,Fvb3,900001,950000,50000,*,1581,113208,0.000287139320678123,CHH,AL_FL
20,Fvb3,950001,1000000,50000,*,1140,143267,-3.810128640124e-05,CHH,AL_FL
21,Fvb3,1000001,1050000,50000,*,1615,117845,-0.000554642606040101,CHH,AL_FL
22,Fvb3,1050001,1100000,50000,*,1041,100290,-0.00248990062310561,CHH,AL_FL
23,Fvb3,1100001,1150000,50000,*,713,56990,0.00179097831878523,CHH,AL_FL
24,Fvb3,1150001,1200000,50000,*,1242,123923,-0.000153129606443108,CHH,AL_FL
25,Fvb3,1200001,1250000,50000,*,755,118731,-0.0039232689362725,CHH,AL_FL
26,Fvb3,1250001,1300000,50000,*,1818,122603,-0.00124213176835733,CHH,AL_FL
27,Fvb3,1300001,1350000,50000,*,3075,123165,0.012670350263372,CHH,AL_FL
28,Fvb3,1350001,1400000,50000,*,1007,132718,0.00010591519758583,CHH,AL_FL
29,Fvb3,1400001,1450000,50000,*,901,108878,0.000227372122171681,CHH,AL_FL
30,Fvb3,1450001,1500000,50000,*,896,66839,0.000259561963288744,CHH,AL_FL
31,Fvb3,1500001,1550000,50000,*,1189,62568,-0.0239728950196143,CHH,AL_FL
32,Fvb3,1550001,1600000,50000,*,917,118688,-0.00400464142703343,CHH,AL_FL
33,Fvb3,1600001,1650000,50000,*,1144,110113,-0.00995046688175907,CHH,AL_FL
34,Fvb3,1650001,1700000,50000,*,2509,100187,0.00629995690031704,CHH,AL_FL
35,Fvb3,1700001,1750000,50000,*,1754,124836,-0.00514104995540021,CHH,AL_FL
36,Fvb3,1750001,1800000,50000,*,1710,119048,-0.00203863534196646,CHH,AL_FL
37,Fvb3,1800001,1850000,50000,*,1710,124288,-9.53618067144248e-05,CHH,AL_FL
38,Fvb3,1850001,1900000,50000,*,926,116689,-0.000974631654417706,CHH,AL_FL
39,Fvb3,1900001,1950000,50000,*,988,84844,-0.000322845732454769,CHH,AL_FL
40,Fvb3,1950001,2000000,50000,*,1831,116613,-0.000601397047632804,CHH,AL_FL
41,Fvb3,2000001,2050000,50000,*,1467,90881,-0.0105613138753527,CHH,AL_FL
42,Fvb3,2050001,2100000,50000,*,1367,117557,-0.00114693484860116,CHH,AL_FL
43,Fvb3,2100001,2150000,50000,*,1764,112446,0.00285591846403274,CHH,AL_FL
44,Fvb3,2150001,2200000,50000,*,2457,111687,0.00886993356054073,CHH,AL_FL
45,Fvb3,2200001,2250000,50000,*,1645,115228,-0.00328099082721879,CHH,AL_FL
46,Fvb3,2250001,2300000,50000,*,1693,111844,-0.00217960835199853,CHH,AL_FL
47,Fvb3,2300001,2350000,50000,*,2211,125901,0.00614711174929764,CHH,AL_FL
48,Fvb3,2350001,2400000,50000,*,1079,64213,-0.0107027436416765,CHH,AL_FL
49,Fvb3,2400001,2450000,50000,*,8352,92460,-0.0207236794850168,CHH,AL_FL
50,Fvb3,2450001,2500000,50000,*,3167,133078,-0.0142602121814857,CHH,AL_FL
51,Fvb3,2500001,2550000,50000,*,2156,122181,-0.00478129122608531,CHH,AL_FL
52,Fvb3,2550001,2600000,50000,*,1804,126625,-0.00296290442566433,CHH,AL_FL
53,Fvb3,2600001,2650000,50000,*,1100,127901,-0.00259109643053969,CHH,AL_FL
54,Fvb3,2650001,2700000,50000,*,1509,127322,0.000468422330936497,CHH,AL_FL
55,Fvb3,2700001,2750000,50000,*,386,66228,-0.00221543668615915,CHH,AL_FL
56,Fvb3,2750001,2800000,50000,*,2279,95760,0.0104946020137185,CHH,AL_FL
57,Fvb3,2800001,2850000,50000,*,1427,117970,-0.00141124626237039,CHH,AL_FL
58,Fvb3,2850001,2900000,50000,*,1291,119693,-0.00404788460974167,CHH,AL_FL
59,Fvb3,2900001,2950000,50000,*,915,123331,-0.00225852373462964,CHH,AL_FL
60,Fvb3,2950001,3000000,50000,*,893,111625,-0.00118217193682352,CHH,AL_FL
61,Fvb3,3000001,3050000,50000,*,937,109049,-0.00750129221271048,CHH,AL_FL
62,Fvb3,3050001,3100000,50000,*,6675,91656,-0.0178078971854004,CHH,AL_FL
63,Fvb3,3100001,3150000,50000,*,1952,89696,-0.00146785685253514,CHH,AL_FL
64,Fvb3,3150001,3200000,50000,*,1462,98544,-0.00292800210692841,CHH,AL_FL
65,Fvb3,3200001,3250000,50000,*,1420,102572,0.000540490556715392,CHH,AL_FL
66,Fvb3,3250001,3300000,50000,*,1504,113690,-0.00103547105175731,CHH,AL_FL
67,Fvb3,3300001,3350000,50000,*,1396,71918,0.00623432272094789,CHH,AL_FL
68,Fvb3,3350001,3400000,50000,*,2062,101640,0.00355323125528931,CHH,AL_FL
69,Fvb3,3400001,3450000,50000,*,1585,108537,-0.00635755116755143,CHH,AL_FL
70,Fvb3,3450001,3500000,50000,*,1671,113540,-0.000564060604904845,CHH,AL_FL
71,Fvb3,3500001,3550000,50000,*,1276,139131,0.00102875319541685,CHH,AL_FL
72,Fvb3,3550001,3600000,50000,*,2300,117350,-0.00250686031826597,CHH,AL_FL
73,Fvb3,3600001,3650000,50000,*,1516,123802,-0.0043729198969455,CHH,AL_FL
74,Fvb3,3650001,3700000,50000,*,2005,117077,-0.00149237674610685,CHH,AL_FL
75,Fvb3,3700001,3750000,50000,*,1998,108148,0.00383577588041776,CHH,AL_FL
76,Fvb3,3750001,3800000,50000,*,1514,127957,-0.00659180578824539,CHH,AL_FL
77,Fvb3,3800001,3850000,50000,*,2641,113102,0.00786264872468346,CHH,AL_FL
78,Fvb3,3850001,3900000,50000,*,5738,99786,0.00241101709262691,CHH,AL_FL
79,Fvb3,3900001,3950000,50000,*,3192,122214,-0.00813507059446421,CHH,AL_FL
80,Fvb3,3950001,4000000,50000,*,1659,103121,-0.00946614877949494,CHH,AL_FL
81,Fvb3,4000001,4050000,50000,*,1325,71545,-0.0242529419661985,CHH,AL_FL
82,Fvb3,4050001,4100000,50000,*,3590,57923,-0.022110122793197,CHH,AL_FL
83,Fvb3,4100001,4150000,50000,*,2933,104734,-0.040283577721084,CHH,AL_FL
84,Fvb3,4150001,4200000,50000,*,2771,107678,0.00896750497171202,CHH,AL_FL
85,Fvb3,4200001,4250000,50000,*,1275,98557,-0.000392727601560644,CHH,AL_FL
86,Fvb3,4250001,4300000,50000,*,1082,133766,-0.0016283043232998,CHH,AL_FL
87,Fvb3,4300001,4350000,50000,*,2111,116208,-0.00871055093536667,CHH,AL_FL
88,Fvb3,4350001,4400000,50000,*,2498,120725,-0.00575309235038925,CHH,AL_FL
89,Fvb3,4400001,4450000,50000,*,1203,141933,0.000749305046720185,CHH,AL_FL
90,Fvb3,4450001,4500000,50000,*,1227,142769,0.000660445505904854,CHH,AL_FL
91,Fvb3,4500001,4550000,50000,*,1447,121360,-0.00244498405909446,CHH,AL_FL
92,Fvb3,4550001,4600000,50000,*,2089,116483,-0.00400372438341927,CHH,AL_FL
93,Fvb3,4600001,4650000,50000,*,2379,86092,-0.0282954224490385,CHH,AL_FL
94,Fvb3,4650001,4700000,50000,*,1760,115990,-0.00273683589757262,CHH,AL_FL
95,Fvb3,4700001,4750000,50000,*,2450,108522,0.00112256240330361,CHH,AL_FL
96,Fvb3,4750001,4800000,50000,*,4410,108816,-0.00456358840542041,CHH,AL_FL
97,Fvb3,4800001,4850000,50000,*,1421,118790,-0.00218608802915446,CHH,AL_FL
98,Fvb3,4850001,4900000,50000,*,3066,120424,0.00307836343051402,CHH,AL_FL
99,Fvb3,4900001,4950000,50000,*,1202,120039,-0.00398256953073442,CHH,AL_FL
100,Fvb3,4950001,5000000,50000,*,1350,111217,-0.00234419903979949,CHH,AL_FL
101,Fvb3,5000001,5050000,50000,*,3554,102526,-0.0129344756017902,CHH,AL_FL
102,Fvb3,5050001,5100000,50000,*,1337,123275,-0.000340059924225247,CHH,AL_FL
103,Fvb3,5100001,5150000,50000,*,1553,96287,0.00174621181621585,CHH,AL_FL
104,Fvb3,5150001,5200000,50000,*,1131,98544,-0.00439178834549852,CHH,AL_FL
105,Fvb3,5200001,5250000,50000,*,2218,72400,-0.0069015247421504,CHH,AL_FL
106,Fvb3,5250001,5300000,50000,*,1479,96473,0.000180148692892668,CHH,AL_FL
107,Fvb3,5300001,5350000,50000,*,2085,82567,-0.00321249310230073,CHH,AL_FL
108,Fvb3,5350001,5400000,50000,*,2237,86763,-0.000704498102821371,CHH,AL_FL
109,Fvb3,5400001,5450000,50000,*,1489,113238,-0.00211781403652135,CHH,AL_FL
110,Fvb3,5450001,5500000,50000,*,1591,110657,-0.00461592048979331,CHH,AL_FL
111,Fvb3,5500001,5550000,50000,*,1443,119861,-0.00323642537778696,CHH,AL_FL
112,Fvb3,5550001,5600000,50000,*,2035,109768,-0.0309567993379166,CHH,AL_FL
113,Fvb3,5600001,5650000,50000,*,1101,102080,-0.000260558046268891,CHH,AL_FL
114,Fvb3,5650001,5700000,50000,*,2945,90695,0.00639908425360491,CHH,AL_FL
115,Fvb3,5700001,5750000,50000,*,1406,87671,0.00331977217611653,CHH,AL_FL
116,Fvb3,5750001,5800000,50000,*,915,123698,-0.00138269606235962,CHH,AL_FL
117,Fvb3,5800001,5850000,50000,*,1147,104649,-0.00286950568585102,CHH,AL_FL
118,Fvb3,5850001,5900000,50000,*,1431,112620,0.000675640836635405,CHH,AL_FL
119,Fvb3,5900001,5950000,50000,*,968,93643,0.00232068745835672,CHH,AL_FL
120,Fvb3,5950001,6000000,50000,*,639,148867,-0.00126706441071996,CHH,AL_FL
121,Fvb3,6000001,6050000,50000,*,469,49980,0.000144550143084319,CHH,AL_FL
122,Fvb3,6050001,6100000,50000,*,415,30921,-0.0318017338117206,CHH,AL_FL
